Geneid	gene_name	Chr	Length	202402-2401121737-SLA	202402-C01P026-Control	202402-C01P034-Control	202402-C01P040-Control	202402-C01P030-SLA	202402-2309211582-SLA	202402-C01P027-Control	202402-C01P039-SLA	202505S13-2411071506-SLA	202505S13-C01P035-SLA	202505S13-C01P148-SLA	202505S13-C01P038-SLA	202505S13-C01P041-SLA	202505S13-C01P022-SLA	202505S13-C01P086-Control	202505S13-C01P181-SLA	202505S15-C01P196-SLA	202505S15-C01P222-SLA	202505S15-C01P238-SLA	202505S15-C01P195-SLA	202505S15-C01P163-SLA	202505S15-C01P188-SLA	202505S15-C01P260-SLA	202505S15-C01P216-SLA	202408-C01P088-Control	202408-C01P073-SLA	202408-C01P075-SLA	202408-C01P094-Control	202408-C01P083-SLA	202408-C01P070-Control	202408-C01P090-SLA	202408-C01P095-Control	202505S14-C01P092-SLA	202505S14-C01P120-SLA	202505S14-C01P179-SLA	202505S14-C01P047-SLA	202505S14-C01P167-SLA	202505S14-C01P145-SLA	202505S14-C01P051-SLA	202505S14-C01P116-SLA	202401-C01P013-Control	202401-C01P017-Control	202401-C01P024-Control	202401-C01P003-Control	202401-C01P014-Control	202401-C01P012-Control	202401-C01P016-Control	202401-C01P023-Control	202404-C01P069-Control	202404-C01P059-Control	202404-C01P053-SLA	202404-C01P061-Control	202404-C01P068-Control	202404-C01P056-SLA	202404-C01P060-Control	202404-C01P057-SLA	202409-C01P089-SLA	202409-C01P128-SLA	202409-C01P006-SLA	202409-C01P035-SLA	202409-C01P082-SLA	202409-C01P154-SLA	202409-C01P135-SLA	202409-C01P138-SLA	202501-C01P138-SLA	202501-C01P135-SLA	202501-C01P082-SLA	202501-C01P253-SLA	202501-C01P128-SLA	202501-2406121482-SLA	202501-C01P089-SLA	202501-C01P006-SLA	202312-2306221774-SLA	202312-2106212448-SLA	202312-2108021909-SLA	202312-2306221661-SLA	202312-2309191962-SLA	202312-2307121892-SLA	202312-2306221684-Control	202312-2306221703-Control	202304-1409241167-SLA	202304-1912031641-SLA	202304-2006161710-SLA	202304-2105201539-SLA	202304-1810111440-Control	202304-2105181882-SLA	202304-2103051881-SLA	202304-2102111799-SLA	202501b-C01P278-SLA	202501b-C01P120-SLA	202501b-C01P276-SLA	202501b-C01P263-SLA	202501b-C01P269-SLA	202501b-C01P255-SLA	202501b-C01P159-SLA	202501b-C01P114-SLA
ENSG00000135387	CAPRIN1	11	7689	17101	15522	14975	11168	20787	22112	19459	15691	61752	60089	34400	51126	1692	51794	16608	10711	28518	33971	26868	32914	34535	27510	32789	28482	13103	11088	8470	11600	14391	18608	11723	7105	171714	7107	45209	25013	21590	24931	64336	35943	39363	55703	33890	65048	53085	43408	44111	38732	15623	9535	14315	7380	18007	5006	9648	17549	11806	6573	10346	11207	27778	617	7973	11692	15437	17698	39755	56933	7187	18523	30575	30646	40864	32642	17172	20706	28134	22610	28732	12360	31485	38201	44522	53031	55057	50401	41591	75312	31899	3	89906	34098	92771	23923	48846	77030
ENSG00000025434	NR1H3	11	4346	677	832	579	361	856	1168	1319	794	1587	1830	947	1660	166	1946	1257	936	1204	1314	1211	1321	1775	1203	1901	1892	917	642	677	655	1068	665	662	565	9072	303	3089	910	1678	1359	2555	2421	1186	2256	1685	2428	2759	1507	1947	2287	613	975	664	420	778	312	819	567	701	442	404	355	583	443	642	514	821	1959	935	1528	491	507	1842	1349	1796	2355	1872	1294	1193	885	1499	706	1574	1814	2201	2176	2799	2175	1961	2056	1357	0	3265	1152	5295	975	2413	3419
ENSG00000177119	ANO6	12	8235	10989	6701	7871	6852	11348	11694	7965	6895	24429	24294	17105	23703	1027	26435	6955	6269	16867	15026	11395	15876	13636	13750	15037	16134	4308	4522	3455	5474	6550	7301	4870	4117	79515	3687	20638	14855	12346	12531	22934	16408	19383	24623	12206	25049	20208	17106	17163	17954	6345	2786	6416	2306	8172	3007	2966	6222	7773	2766	5166	4598	10052	757	3728	5724	6358	7300	13285	32181	2673	5697	18268	11980	16928	13264	6410	9130	14630	10114	13892	7897	16320	18819	23500	26865	17932	20021	14705	9558	12000	2	41630	14695	50875	13007	22323	32365
ENSG00000135406	PRPH	12	4349	0	1	0	3	0	0	1	1	0	1	2	0	0	5	119	130	1	5	5	6	1	6	0	2	5	4	0	2	6	1	1	2	0	0	5	0	2	0	0	0	3	4	3	6	3	0	103	6	0	7	1	0	6	1	8	0	1	22	0	0	0	210	6	0	0	5	11	11	0	0	0	0	5	185	64	15	8	0	13	0	5	3	5	4	0	0	4	67	1	0	0	11	35	0	0	0
ENSG00000135486	HNRNPA1	12	5093	6026	5100	5609	3746	7322	8269	7826	5298	16962	13717	10232	14711	539	14942	5663	3399	9738	11112	8723	14539	11491	10107	11583	9909	5661	3925	4189	4302	5799	6906	4751	2233	56393	2948	14423	5622	7535	7222	17869	11697	13108	19203	14065	20642	18916	16518	15183	18576	4284	3755	5311	2861	6203	1684	3976	5013	4401	2663	3759	3611	9283	225	3245	5118	7256	5780	12742	30905	2133	9179	9393	12376	14926	11218	8435	9436	8112	6886	12750	4630	9877	12332	17638	13586	18545	17723	15920	29492	16505	2	24457	8505	31230	6624	18452	24534
ENSG00000155980	KIF5A	12	6261	117	88	201	81	116	184	202	97	279	141	240	346	37	286	158	1531	258	406	155	451	454	241	203	263	210	94	136	108	172	143	131	47	2326	43	359	158	145	212	394	271	395	405	374	323	514	447	1576	571	126	151	153	75	201	59	221	94	72	222	80	37	194	523	119	89	113	240	277	495	144	305	188	310	387	1855	1135	242	179	187	344	103	277	249	261	220	429	224	442	1943	172	1	418	144	1036	147	672	591
ENSG00000183735	TBK1	12	4762	3490	3090	4756	2952	11053	4850	2640	3453	20771	21386	11986	11379	654	13613	1882	1968	4860	14390	4583	9967	7941	14729	11913	4678	1595	1429	1629	3096	2257	3823	4487	1895	39305	2682	8688	4938	5391	5437	15888	9331	9630	17149	6592	20887	10206	11513	9393	6555	2832	790	1646	1287	3425	913	844	3828	2105	968	2238	4224	8892	258	1047	1968	1947	1557	8289	13307	450	3205	4563	4737	11922	4061	2565	7019	7300	5394	12465	3044	9630	10735	22991	24681	8910	15064	13353	16366	20636	2	28210	9790	27902	9871	17659	15658
ENSG00000110887	DAO	12	3883	5	3	0	4	1	0	1	3	8	4	15	17	11	33	0	538	8	40	9	20	4	21	8	6	6	7	3	18	8	5	10	5	55	0	22	3	2	0	0	3	3	4	14	29	22	2	603	5	2	10	0	5	21	2	19	3	0	66	2	3	4	291	27	2	0	0	14	0	56	33	8	16	3	653	320	12	18	0	31	6	22	12	27	4	2	12	9	232	14	0	26	5	54	2	31	21
ENSG00000214274	ANG	14	1430	89	183	43	32	172	203	92	85	392	217	133	539	48	242	209	154	242	219	222	112	179	144	236	116	143	67	73	100	213	91	97	38	1142	39	328	125	225	109	248	206	277	262	231	368	236	218	278	244	68	46	57	48	70	35	38	64	174	60	37	31	214	0	104	85	147	309	371	116	0	0	557	137	205	306	179	129	163	228	124	144	154	156	226	405	228	345	155	305	140	0	464	285	657	100	293	333
ENSG00000080815	PSEN1	14	9947	9064	14332	9337	8101	14564	17803	13514	17162	38761	54778	29652	44988	1975	55217	9107	9150	24547	30268	26107	17107	28432	23562	28070	23087	8847	6764	6100	12083	12165	15943	7801	6261	157145	6794	37185	20290	14562	20574	60158	34958	31826	43492	25125	49633	36591	30593	37227	21955	10275	6073	8348	5016	12387	3527	5148	12902	7512	4610	9221	11572	15428	216	6064	7036	8096	9778	19702	29818	3171	10492	16975	24638	29250	24508	10053	12774	29967	13961	17294	8800	25953	21587	37550	33961	38473	42626	22517	25510	18123	2	54580	22493	68995	18977	30852	60332
