Sample,Date_Mapping,Total_reads,Unique_reads,Unique_pct,Multi_reads,Multi_pct,No_map_reads,No_map_pct
202404-C01P060-Control.Log.final.out,	May0122:48:44,	1522880,	895954,	58.83,	33782,	2.22%,592950,38.94,	0.00,	38.91,	0.03
202404-C01P061-Control.Log.final.out,	May0122:49:43,	1526191,	821993,	53.86,	32782,	2.15%,671136,43.98,	0.00,	43.95,	0.03
202404-C01P068-Control.Log.final.out,	May0122:50:38,	1598783,	1082471,	67.71,	45423,	2.84%,470699,29.44,	0.00,	29.42,	0.02
202404-C01P069-Control.Log.final.out,	May0122:51:38,	1918657,	1116078,	58.17,	45555,	2.37%,756795,39.44,	0.00,	39.42,	0.02
202408-C01P070-Control.Log.final.out,	May0122:52:15,	976755,	850215,	87.04,	26829,	2.75%,99704,10.21,	0.00,	10.21,	0.00
202408-C01P073-SLA.Log.final.out,	May0122:52:56,	964237,	745975,	77.36,	26272,	2.72%,191974,19.90,	0.00,	19.90,	0.00
202408-C01P075-SLA.Log.final.out,	May0122:53:35,	832141,	625463,	75.16,	23718,	2.85%,182952,21.98,	0.00,	21.98,	0.00
202408-C01P083-SLA.Log.final.out,	May0122:54:18,	1300018,	1019994,	78.46,	36450,	2.80%,243564,18.73,	0.00,	18.73,	0.00
202408-C01P088-Control.Log.final.out,	May0122:54:57,	997344,	822488,	82.47,	30506,	3.06%,144346,14.47,	0.00,	14.47,	0.00
202408-C01P090-SLA.Log.final.out,	May0122:55:33,	744646,	630784,	84.71,	19339,	2.60%,94519,12.69,	0.00,	12.69,	0.00
202408-C01P094-Control.Log.final.out,	May0122:56:16,	1144757,	839658,	73.35,	29347,	2.56%,275727,24.09,	0.00,	24.08,	0.01
202408-C01P095-Control.Log.final.out,	May0122:56:56,	801045,	556047,	69.42,	21684,	2.71%,223278,27.87,	0.00,	27.86,	0.01
202409-C01P006-SLA.Log.final.out,	May0122:57:29,	565708,	468711,	82.85,	17551,	3.10%,79440,14.04,	0.00,	14.04,	0.00
202409-C01P035-SLA.Log.final.out,	May0122:58:01,	612579,	539577,	88.08,	15256,	2.49%,57743,9.42,	0.00,	9.42,	0.00
202409-C01P082-SLA.Log.final.out,	May0122:58:39,	1127592,	971046,	86.12,	38988,	3.46%,117547,10.42,	0.00,	10.42,	0.00
202409-C01P089-SLA.Log.final.out,	May0122:59:09,	577874,	471598,	81.61,	21258,	3.68%,85011,14.71,	0.00,	14.71,	0.00
202409-C01P128-SLA.Log.final.out,	May0122:59:50,	720862,	510260,	70.78,	20573,	2.85%,190018,26.36,	0.00,	26.36,	0.00
202409-C01P135-SLA.Log.final.out,	May0123:00:28,	762974,	580174,	76.04,	20112,	2.64%,162672,21.32,	0.00,	21.31,	0.01
202409-C01P138-SLA.Log.final.out,	May0123:01:00,	630943,	498604,	79.03,	25658,	4.07%,106678,16.90,	0.00,	16.90,	0.00
202409-C01P154-SLA.Log.final.out,	May0123:01:27,	47743,	41511,	86.95,	374,	0.78%,5830,12.21,	0.00,	12.13,	0.08
202501-2406121482-SLA.Log.final.out,	May0123:02:08,	1191776,	945126,	79.30,	38840,	3.26%,207791,17.43,	0.00,	17.43,	0.00
