CRAC_Sample,CRAC_Date_Mapping,CRAC_Total_reads,CRAC_Unique_reads,CRAC_Unique_pct,CRAC_Multi_reads,CRAC_Multi_pct,CRAC_No_map_reads,CRAC_No_map_pct,CRAC_Dup_reads,CRAC_Dup_pct,CRAC_Explainable_reads,CRAC_Explainable_pct,CRAC_Rep_reads,CRAC_Rep_pct,CRAC_Normal_reads,CRAC_Normal_pct,CRAC_AlmostNormal_reads,CRAC_AlmostNormal_pct,CRAC_SeqErr_reads,CRAC_SeqErr_pct,CRAC_SNV_reads,CRAC_SNV_pct,CRAC_ShortIndel_reads,CRAC_ShortIndel_pct,CRAC_Splice_reads,CRAC_Splice_pct,CRAC_WeakSplice_reads,CRAC_WeakSplice_pct,CRAC_Chimera_reads,CRAC_Chimera_pct,CRAC_PE_Chimera_reads,CRAC_PE_Chimera_pct,CRAC_BioUndetermined_reads,CRAC_BioUndetermined_pct,CRAC_Undetermined_reads,CRAC_Undetermined_pct
202409-C01P082-SLA,2025-05-15,2255184,2067916,91.6961,96412,4.27513,11302,0.501156,79554,3.52761,2227496,98.7723,39243,1.74012,2444,0.108373,0,0,1112780,49.3432,159399,7.06812,1542,0.0683758,680355,30.1685,907,0.0402184,11619,0.515213,61700,2.73592,1399635,62.063,1399635,62.063
202409-C01P089-SLA,2025-05-15,1155748,1050210,90.8684,45479,3.93503,8390,0.725937,51669,4.47061,1138042,98.468,19212,1.6623,1056,0.0913694,0,0,586523,50.7483,93359,8.0778,973,0.0841879,343895,29.7552,526,0.0455117,6864,0.593901,34794,3.01052,742910,64.2796,742910,64.2796
202409-C01P128-SLA,2025-05-15,1441724,1271490,88.1923,53711,3.72547,41356,2.86851,75167,5.21369,1387716,96.2539,26797,1.85868,958,0.0664482,0,0,494950,34.3304,165625,11.488,4785,0.331894,335345,23.26,182,0.0126238,19369,1.34346,33459,2.32076,1170967,81.2199,1170967,81.2199
202409-C01P135-SLA,2025-05-15,1525948,1385910,90.8229,50052,3.28006,28229,1.84993,61757,4.04712,1488175,97.5246,24688,1.61788,1314,0.0861104,0,0,642082,42.0776,114869,7.52771,3194,0.209313,385152,25.2402,221,0.0144828,11444,0.74996,27939,1.83093,1164217,76.2947,1164217,76.2947
202409-C01P138-SLA,2025-05-15,1261886,1135132,89.9552,52579,4.1667,10606,0.840488,63569,5.03762,1243867,98.5721,22450,1.77908,1164,0.0922429,0,0,637774,50.5413,118715,9.40774,1347,0.106745,354244,28.0726,372,0.0294797,10146,0.804035,44208,3.50333,808466,64.0681,808466,64.0681
202409-C01P154-SLA,2025-05-15,95486,85234,89.2633,4995,5.23113,2044,2.14063,3213,3.36489,89313,93.5352,11040,11.5619,226,0.236684,0,0,12576,13.1705,3710,3.88539,67,0.0701674,314,0.328844,12,0.0125673,49,0.0513164,1955,2.04742,81172,85.0093,81172,85.0093
202501-2406121482-SLA,2025-05-15,2383552,2167492,90.9354,88887,3.72918,27301,1.14539,99872,4.19005,2344330,98.3545,42162,1.76887,1925,0.0807618,0,0,192226,8.06469,158552,6.65192,12225,0.51289,623850,26.1731,286,0.0119989,27354,1.14761,47098,1.97596,2286221,95.9166,2286221,95.9166
202501b-C01P114-SLA,2025-05-15,8484696,7903408,93.149,213969,2.52182,82832,0.976252,284487,3.35294,8359606,98.5257,133758,1.57646,9576,0.112862,0,0,2798749,32.9858,676106,7.96854,11144,0.131342,2263513,26.6776,1466,0.0172782,47379,0.558405,302268,3.56251,6550935,77.2088,6550935,77.2088
202501b-C01P120-SLA,2025-05-15,2296,1906,83.0139,47,2.04704,135,5.87979,208,9.05923,1857,80.8798,123,5.35714,2,0.087108,0,0,504,21.9512,451,19.6429,4,0.174216,104,4.52962,35,1.52439,33,1.43728,156,6.79443,1521,66.2456,1521,66.2456
202501b-C01P159-SLA,2025-05-15,5280510,4884343,92.4976,167638,3.17466,51402,0.973429,177127,3.35435,5202428,98.5213,96911,1.83526,6344,0.12014,0,0,1873909,35.4873,361259,6.84137,6636,0.12567,1333575,25.2547,969,0.0183505,29471,0.558109,161382,3.05618,4017358,76.079,4017358,76.079
